Mnemonic Operand Addressing Length OpCode
ABA none INH 2 1806
ADCA #opr8i IMM 2 89
ADCA opr8a DIR 2 99
ADCA opr16a EXT 3 B9
ADCB #opr8i IMM 2 C9
ADCB opr8a DIR 2 D9
ADCB opr16a EXT 3 F9
ADDA #opr8i IMM 2 8B
ADDA opr8a DIR 2 9B
ADDA opr16a EXT 3 BB
ADDB #opr8i IMM 2 CB
ADDB opr8a DIR 2 DB
ADDB opr16a EXT 3 FB
ADDD #opr16i IMM 3 C3
ADDD opr8a DIR 2 D3
ADDD opr16a EXT 3 F3
LDAA #opr8i IMM 2 86
LDAA opr8a DIR 2 96
LDAA opr16a EXT 3 B6
LDAA oprx,xysp IDX 4 A6
BNE rel8 REL 2 26rr
LBNE rel16 REL 4 1826qqrr
JMP opr16a EXT 3 06hhll
JMP oprx,xysp IDX 4 05
IBEQ abdxys,rel9 REL 3 04lbrr
IBNE abdxys,rel9 REL 3 04lbrr
